nbr_apop	apop_pos	epi_size	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_epi_inter_epi_inter__	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
1.200000e+01	-5.447371e+01	1.616087e+02	1.139940e-01	2.330992e+00
1.300000e+01	-6.950691e+01	1.562019e+02	5.375098e-01	2.199243e+00
1.300000e+01	-6.950691e+01	1.562019e+02	5.375098e-01	2.199243e+00
1.200000e+01	-5.447371e+01	1.616087e+02	1.139940e-01	2.330992e+00
1.200000e+01	-5.447371e+01	1.616087e+02	1.139940e-01	2.199243e+00
1.100000e+01	-7.112559e+01	1.583587e+02	1.289496e-01	1.290842e-01
1.500000e+01	-7.054839e+01	1.532275e+02	8.873261e-01	1.290842e-01
1.100000e+01	-7.112559e+01	1.583587e+02	1.289496e-01	9.720115e-01
1.100000e+01	-7.112559e+01	1.583587e+02	1.289496e-01	9.720115e-01
1.500000e+01	-7.054839e+01	1.532275e+02	8.873261e-01	1.290842e-01
1.500000e+01	-7.054839e+01	1.532275e+02	8.873261e-01	9.720115e-01
1.000000e+01	-8.474360e+01	1.562222e+02	3.196026e-01	3.759038e+00
1.300000e+01	-3.421892e+01	1.560076e+02	4.008577e-01	3.759038e+00
1.000000e+01	-8.474360e+01	1.562222e+02	3.196026e-01	3.655066e+00
1.000000e+01	-8.474360e+01	1.562222e+02	3.196026e-01	3.655066e+00
1.300000e+01	-3.421892e+01	1.560076e+02	4.008577e-01	3.759038e+00
1.300000e+01	-3.421892e+01	1.560076e+02	4.008577e-01	3.655066e+00
