nbr_breaks	Group_epib1	Group_epib2	Group_epib2	Group_m2	Group_m2	Group_m1	Group_m3	Group_m3
1.500000e+01	9.553584e-01	3.023516e-01	5.996712e-01	2.534361e-01	4.155952e-01	1.113185e-01	6.636978e-01	8.156862e-01
1.300000e+01	1.927328e-01	6.688144e-01	8.712532e-02	2.534361e-01	4.155952e-01	1.113185e-01	6.636978e-01	8.156862e-01
8.000000e+00	1.927328e-01	3.023516e-01	5.996712e-01	9.822145e-02	8.287986e-01	1.113185e-01	6.636978e-01	8.156862e-01
8.000000e+00	1.927328e-01	3.023516e-01	5.996712e-01	2.534361e-01	4.155952e-01	3.966012e-01	6.636978e-01	8.156862e-01
6.000000e+00	1.927328e-01	3.023516e-01	5.996712e-01	2.534361e-01	4.155952e-01	1.113185e-01	6.362168e-01	6.570663e-02
0.000000e+00	1.927328e-01	6.688144e-01	8.712532e-02	9.822145e-02	8.287986e-01	3.966012e-01	6.362168e-01	6.570663e-02
0.000000e+00	9.553584e-01	3.023516e-01	5.996712e-01	9.822145e-02	8.287986e-01	3.966012e-01	6.362168e-01	6.570663e-02
0.000000e+00	9.553584e-01	6.688144e-01	8.712532e-02	2.534361e-01	4.155952e-01	3.966012e-01	6.362168e-01	6.570663e-02
6.000000e+00	9.553584e-01	6.688144e-01	8.712532e-02	9.822145e-02	8.287986e-01	1.113185e-01	6.362168e-01	6.570663e-02
3.000000e+00	9.553584e-01	6.688144e-01	8.712532e-02	9.822145e-02	8.287986e-01	3.966012e-01	6.636978e-01	8.156862e-01
0.000000e+00	9.553584e-01	6.688144e-01	8.712532e-02	9.822145e-02	8.287986e-01	3.966012e-01	6.362168e-01	6.570663e-02
0.000000e+00	2.955595e-01	5.667816e-01	3.002658e-01	9.669674e-01	1.195969e-01	4.993633e-01	1.354566e-01	6.460162e-01
0.000000e+00	6.810205e-01	5.667816e-01	3.002658e-01	9.669674e-01	1.195969e-01	4.993633e-01	1.354566e-01	6.460162e-01
0.000000e+00	2.955595e-01	9.614075e-01	2.944069e-01	9.669674e-01	1.195969e-01	4.993633e-01	1.354566e-01	6.460162e-01
0.000000e+00	2.955595e-01	5.667816e-01	3.002658e-01	3.113538e-01	3.236876e-01	4.993633e-01	1.354566e-01	6.460162e-01
0.000000e+00	2.955595e-01	5.667816e-01	3.002658e-01	9.669674e-01	1.195969e-01	7.950174e-01	1.354566e-01	6.460162e-01
2.000000e+00	2.955595e-01	5.667816e-01	3.002658e-01	9.669674e-01	1.195969e-01	4.993633e-01	9.249533e-01	7.204700e-01
